index	group	family	subfamily	protein	uniprot	protein_name	gene_synonyms	protein_alternative_names	function
87	GT-A	GT6	GT6-ABO	ABO	P16442	Histo-blood group ABO system transferase		Fucosylglycoprotein 3-alpha-galactosyltransferase;Fucosylglycoprotein alpha-N-acetylgalactosaminyltransferase;Glycoprotein-fucosylgalactoside alpha-N-acetylgalactosaminyltransferase;Glycoprotein-fucosylgalactoside alpha-galactosyltransferase;Histo-blood group A transferase;Histo-blood group B transferase;NAGAT	This protein is the basis of the ABO blood group system. The histo-blood group ABO involves three carbohydrate antigens: A, B, and H. A, B, and AB individuals express a glycosyltransferase activity that converts the H antigen to the A antigen (by addition of UDP-GalNAc) or to the B antigen (by addition of UDP-Gal), whereas O individuals lack such activity;Glycosyltransferase that catalyzes the transfer of carbohydrates to H antigen, forming the antigenic structures of the ABO blood group
88	GT-A	GT6	GT6-GLT6D1	GLT6D1	Q7Z4J2	Putative glycosyltransferase 6 domain-containing protein 1	GLTDC1;GT6M7	Galactosyltransferase family 6 domain-containing 1	
89	GT-A	GT6	GT6-Mix	GBGT1	Q8N5D6	Globoside alpha-1,3-N-acetylgalactosaminyltransferase 1		Forssman glycolipid synthase-like protein	Has lost the ability to synthesize Forssman glycolipid antigen (FORS1/FG) (PubMed:10506200). Might have acquired an alternative function in glycosphingolipid metabolism, but it remains to be established. It appears to have drifted more slowly than confirmed pseudogenes in the glycosyltransferase 6 family, suggesting that it has remained under evolutionary pressure
90	GT-A	GT64	GT64-EXTLs	EXTL2	Q9UBQ6	Exostosin-like 2	EXTR2	Alpha-1,4-N-acetylhexosaminyltransferase EXTL2;Alpha-GalNAcT EXTL2;EXT-related protein 2;Glucuronyl-galactosyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase	Glycosyltransferase required for the biosynthesis of heparan-sulfate and responsible for the alternating addition of beta-1-4-linked glucuronic acid (GlcA) and alpha-1-4-linked N-acetylglucosamine (GlcNAc) units to nascent heparan sulfate chains
91	GT-A	GT64	GT64-EXTLs	EXTL3	O43909	Exostosin-like 3	EXTL1L;EXTR1;KIAA0519	EXT-related protein 1;Glucuronyl-galactosyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase;Hereditary multiple exostoses gene isolog;Multiple exostosis-like protein 3;Putative tumor suppressor protein EXTL3	Glycosyltransferase which regulates the biosynthesis of heparan sulfate (HS) (PubMed:28132690, PubMed:28148688). Initiates HS synthesis by transferring the first N-acetyl-alpha-D-glucosamine (alpha-GlcNAc) residue (GlcNAcT-I activity) to the tetrasaccharide linker (GlcA-Gal-Gal-Xyl-)Ser core linker (PubMed:11390981, PubMed:35676258). May also transfer alpha-GlcNAc residues during HS elongation (GlcNAcT-II activity) (PubMed:11390981, PubMed:35676258). Lacks glucuronyl transferase II (GlcAT-II) activity (PubMed:11390981, PubMed:35676258). Important for both skeletal development and hematopoiesis, through the formation of HS proteoglycans (HSPGs) (PubMed:11390981, PubMed:22727489, PubMed:28132690, PubMed:28148688, PubMed:35676258). Through the synthesis of HS, regulates postnatal pancreatic islet maturation and insulin secretion (By similarity);Receptor for REG3A, REG3B and REG3G, induces the activation of downstream signaling pathways such as PI3K-AKT or RAS-RAF-MEK-ERK signaling pathway (PubMed:22727489, PubMed:27830702, PubMed:34099862). Required for the function of REG3A in regulating keratinocyte proliferation and differentiation (PubMed:22727489). Required for the inhibition of skin inflammation mediated by REG3A through the activation of PI3K-AKT-STAT3 pathway (PubMed:27830702). Required for the function of REG3A and REG3G in glucose tolerance in pancreas (PubMed:19158046). Expressed in microglia, is activated by nociceptor-derived REG3G in response to endotoxins, leading to the inhibition of kynurenine pathway to prevent endotoxic death (By similarity)
92	GT-A	GT64	GT64-EXTs	EXT2	Q93063	Exostosin-2		Exostosin glycosyltransferase 2;Glucuronosyl-N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase;Heparan sulfate co-polymerase subunit EXT1;Multiple exostoses protein 2	Glycosyltransferase forming with EXT1 the heterodimeric heparan sulfate polymerase which catalyzes the elongation of the heparan sulfate glycan backbone (PubMed:22660413, PubMed:36402845, PubMed:36593275). Glycan backbone extension consists in the alternating transfer of (1->4)-beta-D-GlcA and (1->4)-alpha-D-GlcNAc residues from their respective UDP-sugar donors. Both EXT1 and EXT2 are required for the full activity of the polymerase since EXT1 bears the N-acetylglucosaminyl-proteoglycan 4-beta-glucuronosyltransferase activity within the complex while EXT2 carries the glucuronosyl-N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase activity (PubMed:36402845, PubMed:36593275). Heparan sulfate proteoglycans are ubiquitous components of the extracellular matrix and play an important role in tissue homeostasis and signaling (PubMed:19344451, PubMed:22660413)
93	GT-A	GT64	GT64-EXTs	EXT1	Q16394	Exostosin-1		Exostosin glycosyltransferase 1;Heparan sulfate co-polymerase subunit EXT1;Multiple exostoses protein 1;N-acetylglucosaminyl-proteoglycan 4-beta-glucuronosyltransferase	Glycosyltransferase forming with EXT2 the heterodimeric heparan sulfate polymerase which catalyzes the elongation of the heparan sulfate glycan backbone (PubMed:10639137, PubMed:22660413, PubMed:36402845, PubMed:36593275, PubMed:9620772). Glycan backbone extension consists in the alternating transfer of (1->4)-beta-D-GlcA and (1->4)-alpha-D-GlcNAc residues from their respective UDP-sugar donors. Both EXT1 and EXT2 are required for the full activity of the polymerase since EXT1 bears the N-acetylglucosaminyl-proteoglycan 4-beta-glucuronosyltransferase activity within the complex while EXT2 carries the glucuronosyl-N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase activity (PubMed:36402845, PubMed:36593275). Heparan sulfate proteoglycans are ubiquitous components of the extracellular matrix and play an important role in tissue homeostasis and signaling (PubMed:10639137, PubMed:11391482, PubMed:22660413, PubMed:9620772)
94	GT-A	GT64	GT64-EXTs	EXTL1	Q92935	Exostosin-like 1	EXTL	Exostosin-L;Glucuronosyl-N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase;Multiple exostosis-like protein	Glycosyltransferase required for the biosynthesis of heparan-sulfate (HS) (PubMed:11390981). Transfers N-acetyl-alpha-D-glucosamine to the nascent HS chain (GlcNAcT-II activity) (PubMed:11390981). Appears to lack GlcNAcT I and GlcAT-II activities (PubMed:11390981)
95	GT-A	GT7	-	CSGALNACT1	Q8TDX6	Chondroitin sulfate N-acetylgalactosaminyltransferase 1	CHGN;GALNACT1	Chondroitin beta-1,4-N-acetylgalactosaminyltransferase 1	Transfers 1,4-N-acetylgalactosamine (GalNAc) from UDP-GalNAc to the non-reducing end of glucuronic acid (GlcUA). Required for addition of the first GalNAc to the core tetrasaccharide linker and for elongation of chondroitin chains. Important role in chondroitin chain biosynthesis in cartilage formation and subsequent endochondral ossification (PubMed:11788602, PubMed:12163485, PubMed:12446672, PubMed:17145758, PubMed:31705726). Moreover, is involved in the metabolism of aggrecan (By similarity)
96	GT-A	GT7	GT2-Mix-3	B4GALNT4	Q76KP1	N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase 1		Beta-1,4-N-acetylgalactosaminyltransferase IV	Transfers N-acetylgalactosamine (GalNAc) from UDP-GalNAc to N-acetylglucosamine-beta-benzyl with a beta-1,4-linkage to form N,N'-diacetyllactosediamine, GalNAc-beta-1,4-GlcNAc structures in N-linked glycans and probably O-linked glycans
97	GT-A	GT7	GT2-Mix-5	B4GALNT3	Q6L9W6	Beta-1,4-N-acetylgalactosaminyltransferase 3		Beta-1,4-N-acetylgalactosaminyltransferase III;N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase 2	Transfers N-acetylgalactosamine (GalNAc) from UDP-GalNAc to N-acetylglucosamine-beta-benzyl with a beta-1,4-linkage to form N,N'-diacetyllactosediamine, GalNAc-beta-1,4-GlcNAc structures in N-linked glycans and probably O-linked glycans. Mediates the N,N'-diacetyllactosediamine formation on gastric mucosa
98	GT-A	GT7	GT7-1	CSGALNACT2	Q8N6G5	Chondroitin sulfate N-acetylgalactosaminyltransferase 2	CHGN2;GALNACT2	Chondroitin beta-1,4-N-acetylgalactosaminyltransferase 2	Transfers 1,4-N-acetylgalactosamine (GalNAc) from UDP-GalNAc to the non-reducing end of glucuronic acid (GlcUA). Required for addition of the first GalNAc to the core tetrasaccharide linker and for elongation of chondroitin chains
99	GT-A	GT7	GT7-1	CHSY3~b	Q70JA7	Chondroitin sulfate synthase 3	CHSY2;CSS3	Carbohydrate synthase 2;Chondroitin glucuronyltransferase 3;Chondroitin synthase 2;Glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase II;N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase 3;N-acetylgalactosaminyltransferase 3	Has both beta-1,3-glucuronic acid and beta-1,4-N-acetylgalactosamine transferase activity. Transfers glucuronic acid (GlcUA) from UDP-GlcUA and N-acetylgalactosamine (GalNAc) from UDP-GalNAc to the non-reducing end of the elongating chondroitin polymer. Specific activity is much reduced compared to CHSY1
100	GT-A	GT7	GT7-1	B4GALT7	Q9UBV7	Beta-1,4-galactosyltransferase 7	XGALT1	Proteoglycan UDP-galactose:beta-xylose beta1,4-galactosyltransferase I;UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 7;UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 7;UDP-galactose:beta-xylose beta-1,4-galactosyltransferase;XGPT;XGalT-1;Xylosylprotein 4-beta-galactosyltransferase;Xylosylprotein beta-1,4-galactosyltransferase	Required for the biosynthesis of the tetrasaccharide linkage region of proteoglycans, especially for small proteoglycans in skin fibroblasts
101	GT-A	GT7	GT7-1	CHSY1~b	Q86X52	Chondroitin sulfate synthase 1	CHSY;CSS1;KIAA0990	Chondroitin glucuronyltransferase 1;Chondroitin synthase 1;Glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase 1;N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase 1;N-acetylgalactosaminyltransferase 1	Has both beta-1,3-glucuronic acid and beta-1,4-N-acetylgalactosamine transferase activity. Transfers glucuronic acid (GlcUA) from UDP-GlcUA and N-acetylgalactosamine (GalNAc) from UDP-GalNAc to the non-reducing end of the elongating chondroitin polymer. Involved in the negative control of osteogenesis likely through the modulation of NOTCH signaling
102	GT-A	GT7	GT7-1	B4GALT5	O43286	Beta-1,4-galactosyltransferase 5		Beta-1,4-GalT II;Glucosylceramide beta-1,4-galactosyltransferase;Lactosylceramide synthase;UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 5;UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 5	Catalyzes the synthesis of lactosylceramide (LacCer) via the transfer of galactose from UDP-galactose to glucosylceramide (GlcCer) (PubMed:24498430). LacCer is the starting point in the biosynthesis of all gangliosides (membrane-bound glycosphingolipids) which play pivotal roles in the CNS including neuronal maturation and axonal and myelin formation (By similarity). Plays a role in the glycosylation of BMPR1A and regulation of its protein stability (By similarity). Essential for extraembryonic development during early embryogenesis (By similarity)
103	GT-A	GT7	GT7-1	B4GALT2	O60909	Beta-1,4-galactosyltransferase 2		Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase;Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase;Lactose synthase A protein;N-acetyllactosamine synthase;Nal synthase;UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 2;UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 2	Responsible for the synthesis of complex-type N-linked oligosaccharides in many glycoproteins as well as the carbohydrate moieties of glycolipids (PubMed:9405390). Can produce lactose (PubMed:9405390)
104	GT-A	GT7	GT7-1	B4GALT3	O60512	Beta-1,4-galactosyltransferase 3		Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase;Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase;N-acetyllactosamine synthase;Nal synthase;Neolactotriaosylceramide beta-1,4-galactosyltransferase;UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 3;UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 3	Responsible for the synthesis of complex-type N-linked oligosaccharides in many glycoproteins as well as the carbohydrate moieties of glycolipids
105	GT-A	GT7	GT7-1	B4GALT4	O60513	Beta-1,4-galactosyltransferase 4		Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase;Lactotriaosylceramide beta-1,4-galactosyltransferase;N-acetyllactosamine synthase;Nal synthase;UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 4;UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 4	Galactose (Gal) transferase involved in the synthesis of terminal N-acetyllactosamine (LacNac) unit present on glycan chains of glycoproteins and glycosphingolipids (PubMed:12511560, PubMed:17690104, PubMed:32827291, PubMed:9792633). Catalyzes the transfer of Gal residue via a beta1->4 linkage from UDP-Gal to the non-reducing terminal N-acetyl glucosamine 6-O-sulfate (6-O-sulfoGlcNAc) in the linearly growing chain of both N- and O-linked keratan sulfate proteoglycans. Cooperates with B3GNT7 N-acetyl glucosamine transferase and CHST6 and CHST1 sulfotransferases to construct and elongate mono- and disulfated disaccharide units [->3Galbeta1->4(6-sulfoGlcNAcbeta)1->] and [->3(6-sulfoGalbeta)1->4(6-sulfoGlcNAcbeta)1->] within keratan sulfate polymer (PubMed:17690104). Transfers Gal residue via a beta1->4 linkage to terminal 6-O-sulfoGlcNAc within the LacNac unit of core 2 O-glycans forming 6-sulfo-sialyl-Lewis X (sLex). May contribute to the generation of sLex epitope on mucin-type glycoproteins that serve as ligands for SELL/L-selectin, a major regulator of leukocyte migration (PubMed:12511560). In the biosynthesis pathway of neolacto-series glycosphingolipids, transfers Gal residue via a beta1->4 linkage to terminal GlcNAc of a lactotriaosylceramide (Lc3Cer) acceptor to form a neolactotetraosylceramide (PubMed:9792633)
106	GT-A	GT7	GT7-1	B4GALT6	Q9UBX8	Beta-1,4-galactosyltransferase 6		Glucosylceramide beta-1,4-galactosyltransferase;Lactosylceramide synthase;UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 6;UDP-Gal:glucosylceramide beta-1,4-galactosyltransferase;UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 6	Catalyzes the synthesis of lactosylceramide (LacCer) via the transfer of galactose from UDP-galactose to glucosylceramide (GlcCer) (PubMed:1551920, PubMed:24498430, PubMed:3099851). LacCer is the starting point in the biosynthesis of all gangliosides (membrane-bound glycosphingolipids) which play pivotal roles in the CNS including neuronal maturation and axonal and myelin formation (By similarity)
107	GT-A	GT7	GT7-1	B4GALT1	P15291	Beta-1,4-galactosyltransferase 1	GGTB2	Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase;Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase;Lactose synthase A protein;N-acetyllactosamine synthase;Nal synthase;Neolactotriaosylceramide beta-1,4-galactosyltransferase;UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 1;UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 1	The Golgi complex form catalyzes the production of lactose in the lactating mammary gland and could also be responsible for the synthesis of complex-type N-linked oligosaccharides in many glycoproteins as well as the carbohydrate moieties of glycolipids;The cell surface form functions as a recognition molecule during a variety of cell to cell and cell to matrix interactions, as those occurring during development and egg fertilization, by binding to specific oligosaccharide ligands on opposing cells or in the extracellular matrix
108	GT-A	GT8-GAUT	GT8-GAUT_GATL_Mix	GLT8D1	Q68CQ7	Glycosyltransferase 8 domain-containing protein 1	GALA4A		
109	GT-A	GT8-GAUT	GT8-GAUT_GATL_Mix	GLT8D2	Q9H1C3	Glycosyltransferase 8 domain-containing protein 2	GALA4A		
110	GT-A	GT8-Glycogenin	GT8-Glycogenin-2	GYG2	O15488	Glycogenin-2			Glycogenin participates in the glycogen biosynthetic process along with glycogen synthase and glycogen branching enzyme. It catalyzes the formation of a short alpha (1,4)-glucosyl chain covalently attached via a glucose 1-O-tyrosyl linkage to internal tyrosine residues and these chains act as primers for the elongation reaction catalyzed by glycogen synthase
111	GT-A	GT8-Glycogenin	GT8-Glycogenin-2	GYG1	P46976	Glycogenin-1	GYG		Glycogenin participates in the glycogen biosynthetic process along with glycogen synthase and glycogen branching enzyme. It catalyzes the formation of a short alpha (1,4)-glucosyl chain covalently attached via a glucose 1-O-tyrosyl linkage to internal tyrosine residues and these chains act as primers for the elongation reaction catalyzed by glycogen synthase
112	GT-A	GT8-LpsGlt	GT8-Mix-3	XXYLT1	Q8NBI6	Xyloside xylosyltransferase 1	C3orf21	UDP-xylose:alpha-xyloside alpha-1,3-xylosyltransferase	Alpha-1,3-xylosyltransferase, which elongates the O-linked xylose-glucose disaccharide attached to EGF-like repeats in the extracellular domain of target proteins by catalyzing the addition of the second xylose (PubMed:22117070, PubMed:8982869). Known targets include Notch proteins and coagulation factors, such as F9 (PubMed:22117070, PubMed:8982869)
113	GT-A	GT8-Lrg	GT8-Lrg-1	LARGE2	Q8N3Y3	Xylosyl- and glucuronyltransferase LARGE2	GYLTL1B	Glycosyltransferase-like 1B;LARGE xylosyl- and glucuronyltransferase 2	Bifunctional glycosyltransferase with both alpha-1,3-xylosyltransferase and beta-1,3-glucuronyltransferase activities involved in the maturation of alpha-dystroglycan (DAG1) by glycosylation leading to DAG1 binding to laminin G-like domain-containing extracellular proteins with high affinity and in a phosphorylated-O-mannosyl trisaccharide dependent manner (PubMed:15661757, PubMed:15752776, PubMed:25138275). Elongates the glucuronyl-beta-1,4-xylose-beta disaccharide primer structure by adding repeating units [-3-Xylose-alpha-1,3-GlcA-beta-1-] to produce a heteropolysaccharide (By similarity). Supports the maturation of DAG1 more effectively than LARGE1 (PubMed:15752776). In addition, can modify both heparan sulfate (HS)- and chondroitin/dermatan sulfate (CS/DS)-proteoglycans (PGs), namely GPC4, with a glycosaminoglycan (GAG)-like polysaccharide composed of xylose and glucuronic acid to confer laminin binding (By similarity)
114	GT-A	GT8-Lrg	GT8-Lrg-1	LARGE1	O95461	Xylosyl- and glucuronyltransferase LARGE1	KIAA0609;LARGE	Acetylglucosaminyltransferase-like 1A;Glycosyltransferase-like protein;LARGE xylosyl- and glucuronyltransferase 1	Bifunctional glycosyltransferase with both alpha-1,3-xylosyltransferase and beta-1,3-glucuronyltransferase activities involved in the maturation of alpha-dystroglycan (DAG1) by glycosylation leading to DAG1 binding to laminin G-like domain-containing extracellular proteins with high affinity (PubMed:15661757, PubMed:15752776, PubMed:21987822, PubMed:22223806, PubMed:23125099, PubMed:25279697, PubMed:25279699). Elongates the glucuronyl-beta-1,4-xylose-beta disaccharide primer structure initiated by B4GAT1 by adding repeating units [-3-Xylose-alpha-1,3-GlcA-beta-1-] to produce a heteropolysaccharide (PubMed:22223806, PubMed:23125099, PubMed:25138275, PubMed:25279697, PubMed:25279699, PubMed:32975514). Requires the phosphorylation of core M3 (O-mannosyl trisaccharide) by POMK to elongate the glucuronyl-beta-1,4-xylose-beta disaccharide primer (PubMed:21987822). Plays a key role in skeletal muscle function and regeneration (By similarity)
115	GT-A	GT8-XylT	GT8-XylT-1	GXYLT2	A0PJZ3	Glucoside xylosyltransferase 2	GLT8D4	Glycosyltransferase 8 domain-containing protein 4	Glycosyltransferase which elongates the O-linked glucose attached to EGF-like repeats in the extracellular domain of Notch proteins by catalyzing the addition of xylose
116	GT-A	GT8-XylT	GT8-XylT-1	GXYLT1	Q4G148	Glucoside xylosyltransferase 1	GLT8D3	Glycosyltransferase 8 domain-containing protein 3	Glycosyltransferase which elongates the O-linked glucose attached to EGF-like repeats in the extracellular domain of Notch proteins by catalyzing the addition of xylose
